Datetime,Adj Close,Close,High,Low,Open,Volume
2025-10-20 04:00:00-04:00,255.44,255.44,255.6,254.51,254.54,0
2025-10-20 04:15:00-04:00,254.83,254.83,255.45,254.57,255.41,0
2025-10-20 04:30:00-04:00,254.67,254.67,254.89,254.48,254.76,0
2025-10-20 04:45:00-04:00,254.96,254.96,255.17,254.46,254.66,0
2025-10-20 05:00:00-04:00,254.58,254.58,254.82,254.5,254.82,0
2025-10-20 05:15:00-04:00,254.63,254.63,254.75,254.43,254.5,0
2025-10-20 05:30:00-04:00,254.58,254.58,254.85,254.42,254.64,0
2025-10-20 05:45:00-04:00,254.25,254.25,254.58,254.06,254.48,0
2025-10-20 06:00:00-04:00,254.29,254.29,254.31,253.97,254.14,0
2025-10-20 06:15:00-04:00,253.97,253.97,254.28,253.97,254.24,0
2025-10-20 06:30:00-04:00,254.26,254.26,254.98,253.97,253.99,0
2025-10-20 06:45:00-04:00,253.65,253.65,254.28,253.58,254.28,0
2025-10-20 07:00:00-04:00,254.12,254.12,254.12,253.65,253.65,0
2025-10-20 07:15:00-04:00,254.3,254.3,254.4,254.0,254.0,0
2025-10-20 07:30:00-04:00,254.54,254.54,254.59,254.2,254.27,0
2025-10-20 07:45:00-04:00,254.51,254.51,254.67,254.36,254.43,0
2025-10-20 08:00:00-04:00,254.9,254.9,255.553,253.65,254.75,0
2025-10-20 08:15:00-04:00,254.88,254.88,255.11,254.77,254.9,0
2025-10-20 08:30:00-04:00,254.9,254.9,255.07,254.76,255.0,0
2025-10-20 08:45:00-04:00,255.364,255.364,255.4093,254.9,254.96,0
2025-10-20 09:00:00-04:00,255.23,255.23,255.51,255.09,255.35,0
2025-10-20 09:15:00-04:00,255.06,255.06,255.49,254.4,255.2586,0
2025-10-20 09:30:00-04:00,256.1000061035156,256.1000061035156,256.82989501953125,254.60000610351562,255.16000366210938,1848856
2025-10-20 09:45:00-04:00,255.56500244140625,255.56500244140625,256.77130126953125,254.8000030517578,256.0400085449219,633490
2025-10-20 10:00:00-04:00,256.23760986328125,256.23760986328125,256.75,255.5,255.5800018310547,489033
2025-10-20 10:15:00-04:00,256.5950012207031,256.5950012207031,256.8699951171875,255.80999755859375,256.2427978515625,404673
2025-10-20 10:30:00-04:00,256.2099914550781,256.2099914550781,256.8599853515625,256.05999755859375,256.5950012207031,375631
2025-10-20 10:45:00-04:00,256.7099914550781,256.7099914550781,256.875,256.2300109863281,256.2300109863281,331888
2025-10-20 11:00:00-04:00,256.0,256.0,257.04998779296875,255.99000549316406,256.8500061035156,458842
2025-10-20 11:15:00-04:00,256.8699951171875,256.8699951171875,256.92718505859375,255.97999572753906,255.97999572753906,251326
2025-10-20 11:30:00-04:00,257.70001220703125,257.70001220703125,257.8699951171875,256.80999755859375,256.8900146484375,454095
2025-10-20 11:45:00-04:00,257.5899963378906,257.5899963378906,257.7699890136719,256.92999267578125,257.7300109863281,406716
2025-10-20 12:00:00-04:00,256.8599853515625,256.8599853515625,257.6698913574219,256.7799987792969,257.6241149902344,202921
2025-10-20 12:15:00-04:00,256.8599853515625,256.8599853515625,257.0159912109375,256.6400146484375,256.86920166015625,165959
2025-10-20 12:30:00-04:00,257.1199951171875,257.1199951171875,257.1199951171875,256.67999267578125,256.8500061035156,223867
2025-10-20 12:45:00-04:00,256.885009765625,256.885009765625,257.5199890136719,256.6700134277344,257.1099853515625,252375
2025-10-20 13:00:00-04:00,256.760009765625,256.760009765625,256.92999267578125,256.6476135253906,256.8599853515625,123685
2025-10-20 13:15:00-04:00,256.75,256.75,257.0950012207031,256.6600036621094,256.7699890136719,336599
2025-10-20 13:30:00-04:00,256.8999938964844,256.8999938964844,256.9800109863281,256.68951416015625,256.760009765625,133848
2025-10-20 13:45:00-04:00,256.69000244140625,256.69000244140625,257.0899963378906,256.5686950683594,256.885009765625,154070
2025-10-20 14:00:00-04:00,256.80999755859375,256.80999755859375,257.0159912109375,256.6200866699219,256.6449890136719,160244
2025-10-20 14:15:00-04:00,256.7300109863281,256.7300109863281,256.82000732421875,256.3800048828125,256.82000732421875,163141
2025-10-20 14:30:00-04:00,256.7850036621094,256.7850036621094,256.82000732421875,256.4949951171875,256.760009765625,180427
2025-10-20 14:45:00-04:00,257.1789855957031,257.1789855957031,257.2099914550781,256.5899963378906,256.82000732421875,299166
2025-10-20 15:00:00-04:00,256.94000244140625,256.94000244140625,257.5199890136719,256.9371032714844,257.1579895019531,363737
2025-10-20 15:15:00-04:00,256.9700012207031,256.9700012207031,256.9800109863281,256.6449890136719,256.94000244140625,275825
2025-10-20 15:30:00-04:00,257.3500061035156,257.3500061035156,257.3500061035156,256.8389892578125,256.95001220703125,249246
2025-10-20 15:45:00-04:00,257.0799865722656,257.0799865722656,257.56170654296875,256.8900146484375,257.3599853515625,1107329
2025-10-20 16:00:00-04:00,257.09,257.09,257.15,256.82,257.02,0
2025-10-20 16:15:00-04:00,256.97,256.97,257.16,256.97,257.02,0
2025-10-20 16:30:00-04:00,257.1998,257.1998,257.26,257.0,257.08,0
2025-10-20 16:45:00-04:00,257.2,257.2,257.3,257.04,257.18,0
2025-10-20 17:00:00-04:00,257.35,257.35,257.36,257.02,257.2,0
2025-10-20 17:15:00-04:00,257.37,257.37,257.47,257.27,257.31,0
2025-10-20 17:30:00-04:00,257.498,257.498,257.51,257.39,257.49,0
2025-10-20 17:45:00-04:00,257.36,257.36,257.5,257.27,257.44,0
2025-10-20 18:00:00-04:00,257.27,257.27,257.43,257.02,257.37,0
2025-10-20 18:15:00-04:00,257.5,257.5,257.5,257.02,257.27,0
2025-10-20 18:30:00-04:00,257.53,257.53,257.53,257.4,257.4001,0
2025-10-20 18:45:00-04:00,257.4032,257.4032,257.53,257.4,257.5296,0
2025-10-20 19:00:00-04:00,257.6045,257.6045,257.61,257.4,257.4,0
2025-10-20 19:15:00-04:00,257.57,257.57,257.61,257.4,257.6,0
2025-10-20 19:30:00-04:00,257.6001,257.6001,257.62,257.4,257.4012,0
2025-10-20 19:45:00-04:00,257.35,257.35,257.62,241.4529,241.4529,0
2025-10-21 04:00:00-04:00,256.06,256.06,256.44,255.73,256.14,0
2025-10-21 04:15:00-04:00,255.7,255.7,255.96,255.65,255.79,0
2025-10-21 04:30:00-04:00,255.85,255.85,255.85,255.64,255.76,0
2025-10-21 04:45:00-04:00,255.75,255.75,255.99,255.7,255.86,0
2025-10-21 05:00:00-04:00,256.16,256.16,256.26,255.67,255.75,0
2025-10-21 05:15:00-04:00,256.2,256.2,256.34,255.99,256.34,0
2025-10-21 05:30:00-04:00,256.02,256.02,256.22,255.98,256.21,0
2025-10-21 05:45:00-04:00,255.96,255.96,256.15,255.8,256.08,0
2025-10-21 06:00:00-04:00,255.88,255.88,255.97,255.88,255.96,0
2025-10-21 06:15:00-04:00,255.82,255.82,255.88,255.7,255.87,0
2025-10-21 06:30:00-04:00,255.79,255.79,255.97,255.79,255.9,0
2025-10-21 06:45:00-04:00,255.93,255.93,256.08,255.86,255.88,0
2025-10-21 07:00:00-04:00,256.36,256.36,256.41,255.9,256.06,0
2025-10-21 07:15:00-04:00,256.66,256.66,256.67,256.32,256.44,0
2025-10-21 07:30:00-04:00,256.46,256.46,256.55,256.35,256.55,0
2025-10-21 07:45:00-04:00,256.63,256.63,256.63,256.45,256.53,0
2025-10-21 08:00:00-04:00,256.49,256.49,257.6575,255.61,255.72,0
2025-10-21 08:15:00-04:00,256.48,256.48,256.55,256.2,256.43,0
2025-10-21 08:30:00-04:00,256.32,256.32,256.48,256.24,256.48,0
2025-10-21 08:45:00-04:00,256.3,256.3,256.45,256.0,256.39,0
2025-10-21 09:00:00-04:00,255.96,255.96,256.36,255.85,256.261,0
